,FLEET,AC CODE,"FLT#
(OB)","FLT#
(IB)",ORIG,DEST,"DEST
(ret)","ORIG
(ret)","DEP OB
(HHMM)","ARR OB
(HHMM)","BLOCK OB
(HHMM)","DEP IB
(HHMM)","ARR IB
(HHMM)","BLOCK IB
(HHMM)",OPR,,,,,,,
Domestic,320/D,321K,854,849,RDU,MIA,MIA,RDU,0600,0840,0240,0940,1220,0240,NAC,,,,,,,
Domestic,320/D,321K,1420,1455,RDU,MIA,MIA,RDU,1950,2200,0210,2245,0053,0208,NAC,,,,,,,
Domestic,E175,E7W,5764,5765,DEN,HSV,HSV,DEN,1703,2050,0247,0750,0954,0304,SSX,,,,,,,
Domestic,E175,E7W,3416,3417,PHX,TUS,TUS,PHX,2244,2359,0115,0500,0617,0117,EMY,,,,,,,
Domestic,E175,E7W,3546,3547,PHX,OKC,OKC,PHX,1942,2359,0217,0600,0635,0235,EMY,,,,,,,
Domestic,320/D,321N,2456,2485,RDU,MIA,MIA,RDU,1445,1725,0240,1825,2105,0240,NAC,,,,,,,
Domestic,E175,E7W,3378,3379,PHX,ABQ,ABQ,PHX,2123,2355,0132,0600,0640,0140,EMY,,,,,,,
Domestic,E175,E7W,3538,3539,PHX,GJT,GJT,PHX,2116,2355,0139,0600,0644,0144,EMY,,,,,,,
Domestic,320/D,319W,260,259,RDU,MKE,MKE,RDU,2230,2344,0214,0615,0918,0203,NAC,,,,,,,
Domestic,E175,E7W,3558,3559,PHX,OMA,OMA,PHX,1909,2359,0250,0600,0715,0315,EMY,,,,,,,
Domestic,E175,E7W,4268,4269,MIA,TPA,TPA,MIA,2250,0012,0122,0600,0719,0119,EMY,,,,,,,
Domestic,E145,ERD,,,RDU,MSL,MSL,RDU,,,0155,,,0144,RVF,,,,,,,
Domestic,E175,E7W,3448,3449,MIA,GNV,GNV,MIA,2226,2359,0133,0600,0730,0130,EMY,,,,,,,
Domestic,E175,E7W,3542,3543,PHX,MFR,MFR,PHX,2126,2359,0233,0517,0737,0220,EMY,,,,,,,
Domestic,E145,ERD,,,RDU,MSL,MSL,RDU,,,0155,,,0144,RVF,,,,,,,
Domestic,320/D,319W,1314,1343,RDU,MSP,MSP,RDU,2057,2247,0250,0555,0928,0233,NAC,,,,,,,
Domestic,E175,E7W,3562,3563,PHX,STS,STS,PHX,2139,2355,0216,0550,0753,0203,EMY,,,,,,,
Domestic,E175,E7W,3470,3471,AUS,TUL,TUL,AUS,2045,2224,0139,0621,0802,0141,EMY,,,,,,,
Domestic,E175,E7W,3462,3463,AUS,CLE,CLE,AUS,2010,0005,0255,0605,0821,0316,EMY,,,,,,,
Domestic,737/D,738K,1200,1219,RDU,MSP,MSP,RDU,1105,1225,0220,1315,1709,0254,NAC,,,,,,,
Domestic,E175,E7W,3392,3393,MIA,SDF,SDF,MIA,1955,2231,0236,0600,0829,0229,EMY,,,,,,,
Domestic,E175,E7W,3560,3561,PHX,SAF,SAF,PHX,1803,2035,0132,0800,0839,0139,EMY,,,,,,,
Domestic,320/D,321K,3220,3221,RDU,MSY,MSY,RDU,2210,2337,0227,0500,0812,0212,NAC,,,,,,,
Domestic,E175,E7W,5704,5705,SFO,SBA,SBA,SFO,1715,1842,0127,1927,2057,0130,SSX,,,,,,,
Domestic,E175,E7W,3428,3429,MIA,SAV,SAV,MIA,2230,0017,0147,0700,0841,0141,EMY,,,,,,,
Domestic,E175,E7W,3410,3411,MIA,EYW,EYW,MIA,2112,2230,0118,0730,0846,0116,EMY,,,,,,,
Domestic,320/D,A320,2396,2429,RDU,MSY,MSY,RDU,1543,1710,0227,1750,2102,0212,NAC,,,,,,,
Domestic,E175,E7W,3532,3533,MIA,TYS,TYS,MIA,2236,0050,0214,0705,0914,0209,EMY,,,,,,,
Domestic,E175,E7W,3508,3509,PHX,FLG,FLG,PHX,0610,0726,0116,0811,0928,0117,EMY,,,,,,,
Domestic,E175,E7W,3554,3555,PHX,CLD,CLD,PHX,1917,2055,0138,0800,0929,0129,EMY,,,,,,,
Domestic,Q400,DH4,2324,2325,LAX,STS,STS,LAX,0600,0812,0212,0857,1045,0148,SSX,,,,,,,
Domestic,E175,E7W,3402,3403,MIA,CVG,CVG,MIA,2055,2346,0251,0715,1000,0245,EMY,,,,,,,
Domestic,E175,E7W,3618,3619,DEN,BHM,BHM,DEN,1704,2055,0251,0755,1003,0308,EMY,,,,,,,
Domestic,E190,E95,4252,4253,RDU,MSY,MSY,RDU,1213,1345,0232,1430,1742,0212,PFT,,,,,,,
Domestic,E175,E7W,2374,2375,SAN,SBA,SBA,SAN,1725,1850,0125,1935,2055,0120,SSX,,,,,,,
Domestic,320/D,319W,568,571,RDU,MYR,MYR,RDU,1405,1522,0117,1552,1709,0117,NAC,,,,,,,
Domestic,E175,E7W,5726,5727,SFO,GEG,GEG,SFO,1725,1943,0218,2028,2253,0225,SSX,,,,,,,
Domestic,E175,E7W,3446,3447,PHX,TUS,TUS,PHX,0730,0845,0115,0915,1032,0117,EMY,,,,,,,
Domestic,320/D,321K,2912,2913,RDU,MYR,MYR,RDU,2204,2321,0117,0628,0745,0117,NAC,,,,,,,
Domestic,E175,E7W,3420,3421,MIA,EYW,EYW,MIA,0715,0833,0118,0918,1034,0116,EMY,,,,,,,
Domestic,E175,E7W,3510,3511,PHX,FLG,FLG,PHX,0740,0856,0116,0941,1058,0117,EMY,,,,,,,
Domestic,E145,EMJ,5906,5907,RDU,MYR,MYR,RDU,2238,2355,0117,0555,0712,0117,EMY,,,,,,,
Domestic,E175,E7W,3466,3467,AUS,ELP,ELP,AUS,1840,1946,0206,0820,1111,0151,EMY,,1750,2222,2307,0210,0045,0045
Domestic,E145,EMJ,6120,6121,RDU,MYR,MYR,RDU,0943,1100,0117,1133,1250,0117,EMY,,,,,,,
Domestic,E175,E7W,3432,3433,AUS,BRO,BRO,AUS,0805,0936,0131,1006,1138,0132,EMY,,,,,,,
Domestic,E175,E7W,3520,3521,AUS,HOU,HOU,AUS,0830,0947,0117,1032,1153,0121,EMY,,,,,,,
Alaska,E175,E7W,2306,2307,ANC,DLG,DLG,ANC,1740,1920,0140,,,0132,SSX,,,,,,,
Domestic,Q400,DH4,2348,2349,LAX,STS,STS,LAX,1235,1414,0139,1459,1623,0124,SSX,,,,,,,
Domestic,320/D,H319,2031,2031,AUS,FLG,FLG,AUS,1115,1155,0240,1235,1657,0222,NAC,,,,,,,
Domestic,E175,E7W,5696,5697,DEN,ASE,ASE,DEN,1740,1856,0116,1941,2044,0103,SSX,,,,,,,
Domestic,E175,E7W,3460,3461,AUS,ELP,ELP,AUS,0814,0920,0206,0950,1241,0151,EMY,,,,,,,
Domestic,E175,E7W,3426,3427,PHX,SAF,SAF,PHX,0900,1136,0136,1221,1306,0145,EMY,,,,,,,
Domestic,E175,E7W,3556,3557,PHX,SBA,SBA,PHX,0855,1051,0156,1131,1315,0144,EMY,,,,,,,
Domestic,E175,E7W,3536,3537,PHX,GJT,GJT,PHX,0954,1233,0139,1305,1349,0144,EMY,,,,,,,
Domestic,E145,EMJ,5876,5877,RDU,MYR,MYR,RDU,1530,1647,0117,1720,1837,0117,EMY,,,,,,,
Domestic,E175,E7W,3550,3551,PHX,SAT,SAT,PHX,1435,1901,0226,1306,1354,0248,EMY,,,,,,,
Domestic,E175,E7W,3624,3625,AUS,ICT,ICT,AUS,0941,1136,0155,1210,1405,0155,EMY,,,,,,,
Domestic,E175,E7W,3372,3373,PHX,ELP,ELP,PHX,1030,1300,0130,1340,1417,0137,EMY,,,,,,,
Domestic,E145,EMJ,5958,5959,RDU,MYR,MYR,RDU,1705,1822,0117,1852,2009,0117,EMY,,,,,,,
Domestic,E175,E7W,3666,3667,AUS,ECP,ECP,AUS,0914,1125,0211,1200,1430,0230,EMY,,,,,,,
Domestic,E175,E7W,3500,3501,PHX,EGE,EGE,PHX,1000,1252,0152,1330,1430,0200,EMY,,,,,,,
Domestic,E175,E7W,3336,3337,AUS,OKC,OKC,AUS,1107,1245,0138,1315,1453,0138,EMY,,,,,,,
Domestic,E175,E7W,5702,5703,DEN,BZN,BZN,DEN,1750,1948,0158,2033,2212,0139,SSX,,,,,,,
Domestic,E175,E7W,2360,2361,PDX,SLC,SLC,PDX,1750,2053,0203,2138,2255,0217,SSX,,,,,,,
Domestic,E175,E7W,3548,3549,PHX,OKC,OKC,PHX,0815,1232,0217,1420,1455,0235,EMY,,,,,,,
Caribbean,320/D,319W,3878,3879,RDU,NAS,NAS,RDU,0950,1203,0213,1248,1503,0215,NAC,,,,,,,
Domestic,E175,E7W,3366,3367,MCI,MSP,MSP,MCI,1100,1240,0140,1325,1507,0142,EMY,,,,,,,
Domestic,E175,E7W,3490,3491,AUS,SLC,SLC,AUS,0835,1053,0318,1123,1508,0245,EMY,,,,,,,
Domestic,E175,E7W,3482,3483,AUS,MSY,MSY,AUS,1034,1216,0142,1317,1512,0155,EMY,,,,,,,
Domestic,E175,E7W,3434,3435,PHX,OMA,OMA,PHX,0905,1344,0239,1415,1515,0300,EMY,,,,,,,
Domestic,E175,E7W,3540,3541,PHX,MFR,MFR,PHX,0954,1227,0233,1303,1523,0220,EMY,,,,,,,
Domestic,E175,E7W,2538,2539,PDX,MRY,MRY,PDX,1755,2002,0207,2047,2255,0208,SSX,,,,,,,
Caribbean,E175,E7S,4432,4433,RDU,NAS,NAS,RDU,1410,1632,0222,1710,1934,0224,RBD,,1540,1724,1809,1947,0045,0045
Domestic,E145,EMJ,6042,6043,RDU,OAJ,OAJ,RDU,2240,2353,0113,0500,0615,0115,EMY,,,,,,,
Domestic,E175,E7W,3384,3385,MIA,MSY,MSY,MIA,1615,1729,0214,1228,1529,0201,EMY,,1100,1238,1328,1500,0050,0050
Domestic,E175,E7W,3342,3343,PHX,MRY,MRY,PHX,1040,1254,0214,1334,1533,0159,EMY,,,,,,,
Domestic,E175,E7W,3394,3395,MIA,AVL,AVL,MIA,1041,1249,0208,1330,1535,0205,EMY,,,,,,,
Domestic,E175,E7W,3628,3629,PHX,RAP,RAP,PHX,1000,1224,0224,1304,1539,0235,EMY,,,,,,,
Domestic,E175,E7W,3654,3655,PHX,ICT,ICT,PHX,1000,1221,0221,1301,1540,0239,EMY,,,,,,,
Domestic,E175,E7W,4266,4267,LGA,CVG,CVG,LGA,1105,1309,0204,1349,1540,0151,RBD,,,,,,,
Domestic,E145,EMJ,5986,5987,RDU,OAJ,OAJ,RDU,1251,1404,0113,1450,1605,0115,EMY,,,,,,,
Domestic,E175,E7W,3698,3699,AUS,CID,CID,AUS,0955,1230,0235,1305,1549,0244,EMY,,,,,,,
Domestic,E175,E7W,4340,4341,LGA,MSP,MSP,LGA,0910,1123,0313,1208,1555,0247,RBD,,,,,,,
Domestic,E175,E7W,3514,3515,AUS,GJT,GJT,AUS,1005,1153,0248,1225,1556,0231,EMY,,,,,,,
Domestic,E175,E7W,3498,3499,PHX,BUR,BUR,PHX,1100,1245,0145,1430,1605,0135,EMY,,,,,,,
Domestic,E175,E7W,3438,3439,MCI,BZN,BZN,MCI,0915,1102,0247,1242,1611,0229,EMY,,,,,,,
Domestic,E175,E7W,3344,3345,MIA,CMH,CMH,MIA,1005,1300,0255,1330,1621,0251,EMY,,,,,,,
Domestic,737/D,738K,1546,1547,RDU,OMA,OMA,RDU,1120,1215,0155,1300,1555,0155,NAC,,,,,,,
Domestic,E175,E7W,3354,3355,AUS,GNV,GNV,AUS,1017,1352,0235,1425,1626,0301,EMY,,,,,,,
Domestic,E175,E7W,3486,3487,AUS,CLE,CLE,AUS,0910,1318,0308,1403,1636,0333,EMY,,,,,,,
Domestic,E175,E7W,3368,3369,AUS,SMF,SMF,AUS,0825,1043,0418,1113,1639,0326,EMY,,,,,,,
Domestic,737/D,738M,558,565,RDU,OMA,OMA,RDU,2210,0004,0254,0500,0834,0234,NAC,,,,,,,
Domestic,E175,E7W,3368,3369,AUS,SMF,SMF,AUS,0825,1043,0418,1120,1646,0326,EMY,,,,,,,
Domestic,E175,E7W,3464,3465,AUS,CVG,CVG,AUS,1150,1521,0231,1501,1649,0248,EMY,,,,,,,
Domestic,E175,E7W,3412,3413,MIA,EYW,EYW,MIA,1345,1502,0117,1542,1657,0115,EMY,,,,,,,
Domestic,E175,E7W,3534,3535,PHX,BZN,BZN,PHX,1130,1455,0225,1535,1701,0226,EMY,,,,,,,
Domestic,320/D,321K,122,123,RDU,ORD,ORD,RDU,1620,1718,0158,1803,2107,0204,NAC,,,,,,,
Domestic,E175,E7W,3600,3601,AUS,RAP,RAP,AUS,1050,1248,0258,1325,1716,0251,EMY,,,,,,,
Domestic,E175,E7W,3404,3405,MIA,CVG,CVG,MIA,1135,1414,0239,1454,1728,0234,EMY,,,,,,,
Domestic,E175,E7W,3502,3503,PHX,SBP,SBP,PHX,1215,1410,0155,1550,1734,0144,EMY,,,,,,,
Domestic,E175,E7W,3478,3479,AUS,JAX,JAX,AUS,1235,1604,0229,1544,1735,0251,EMY,,,,,,,
Domestic,E175,E7W,3436,3437,PHX,CLD,CLD,PHX,1300,1433,0133,1613,1739,0126,EMY,,,,,,,
Domestic,E175,E7W,3640,3641,PHX,CID,CID,PHX,1000,1316,0316,1356,1743,0347,EMY,,,,,,,
Alaska,E175,E7W,2320,2321,ANC,OTZ,OTZ,ANC,1825,2029,0204,,,0154,SSX,,,,,,,
Domestic,E175,E7W,4300,4301,LGA,BNA,BNA,LGA,1130,1256,0226,1436,1746,0210,RBD,,,,,,,
Domestic,E175,E7W,3390,3391,MIA,SDF,SDF,MIA,1200,1448,0248,1533,1812,0239,EMY,,,,,,,
Domestic,320/D,A320,218,217,RDU,ORD,ORD,RDU,1010,1108,0158,1153,1457,0204,NAC,,,,,,,
Domestic,E175,E7W,3524,3525,AUS,SAF,SAF,AUS,1405,1511,0206,1545,1840,0155,EMY,,,,,,,
Domestic,737/D,738K,1662,1695,RDU,ORD,ORD,RDU,1540,1638,0158,1723,2027,0204,NAC,,,,,,,
Domestic,320/D,H319,3004,3005,PHX,MEM,MEM,PHX,0955,1457,0302,1540,1711,0331,NAC,,,,,,,
Domestic,E175,E7W,2346,2347,PDX,ONT,ONT,PDX,1830,2101,0231,0700,0937,0237,SSX,,,,,,,
Mexico,737/D,738K,504,505,PHX,MEX,MEX,PHX,0930,1334,0304,1535,1757,0322,NAC,,,,,,,
Domestic,E175,E7W,4442,4443,RDU,ORD,ORD,RDU,1830,1928,0158,2108,0012,0204,RBD,,,,,,,
Domestic,E175,E7W,6236,6237,LAX,TUL,TUL,LAX,0845,1402,0317,1447,1629,0342,SSX,,,,,,,
Domestic,320/D,321K,2290,2329,RDU,ORF,ORF,RDU,2239,2355,0116,0605,0725,0120,NAC,,,,,,,
Domestic,E175,E7W,3522,3523,AUS,HOU,HOU,AUS,1625,1742,0117,1827,1948,0121,EMY,,,,,,,
Domestic,E175,E7W,3472,3473,AUS,CVG,CVG,AUS,1450,1821,0231,1801,1949,0248,EMY,,,,,,,
Domestic,E175,E7W,5738,5739,DEN,FAR,FAR,DEN,1840,2141,0201,2226,2328,0202,SSX,,,,,,,
Domestic,E175,E7W,2358,2359,PDX,SLC,SLC,PDX,1841,2144,0203,0825,0942,0217,SSX,,,,,,,
Domestic,E175,E7W,3370,3371,PHX,RDM,RDM,PHX,1320,1556,0236,1736,2002,0226,EMY,,,,,,,
Domestic,320/D,321K,2382,2411,RDU,ORF,ORF,RDU,1149,1305,0116,1355,1515,0120,NAC,,,,,,,
Domestic,737/D,738K,1112,1129,RDU,ORF,ORF,RDU,1630,1746,0116,1835,1955,0120,NAC,,,,,,,
Domestic,E145,EMJ,5916,5917,RDU,ORF,ORF,RDU,0700,0816,0116,0855,1015,0120,EMY,,,,,,,
Domestic,E175,E7W,3544,3545,PHX,MRY,MRY,PHX,1603,1817,0214,1847,2046,0159,EMY,,1750,1932,2017,2154,0045,0045
Domestic,E175,E7W,4152,4152,AUS,SDF,SDF,AUS,1528,1850,0222,1925,2103,0238,EMY,,,,,,,
Domestic,E145,EMJ,5954,5955,RDU,ORF,ORF,RDU,1830,1946,0116,2020,2140,0120,EMY,,,,,,,
Domestic,E175,E7W,3440,3441,AUS,RNO,RNO,AUS,1345,1531,0346,1611,2129,0318,EMY,,,,,,,
Domestic,E175,E7W,3418,3419,AUS,MFE,MFE,AUS,1810,1937,0127,2017,2143,0126,EMY,,,,,,,
Domestic,E175,E7W,5740,5741,DEN,GJT,GJT,DEN,1850,2014,0124,2059,2208,0109,SSX,,,,,,,
Domestic,E175,E7W,5676,5677,AUS,SUN,SUN,AUS,1850,2136,0346,0820,1242,0322,SSX,,,,,,,
Domestic,E175,E7W,3506,3507,PHX,TUL,TUL,PHX,1650,2117,0227,2057,2145,0248,EMY,,,,,,,
Domestic,E145,ERD,,,RDU,OWB,OWB,RDU,,,0152,,,0141,RVF,,,,,,,
Domestic,E175,E7W,3474,3475,AUS,BRO,BRO,AUS,1820,1948,0128,2028,2156,0128,EMY,,,,,,,
Domestic,E175,E7W,3376,3377,PHX,SBA,SBA,PHX,1805,1954,0149,2025,2204,0139,EMY,,,,,,,
Domestic,E175,E7W,3468,3469,AUS,ABQ,ABQ,AUS,1714,1830,0216,1905,2207,0202,EMY,,,,,,,
Domestic,E175,E7W,5674,5675,AUS,ASE,ASE,AUS,1855,2023,0228,2203,0119,0216,SSX,,,,,,,
Domestic,E175,E7W,5714,5715,SFO,OTH,OTH,SFO,1855,2040,0145,,,0142,SSX,,,,,,,
Domestic,E175,E7W,4404,4405,LGA,BNA,BNA,LGA,1555,1721,0226,1901,2211,0210,RBD,,,,,,,
Domestic,E175,E7W,3504,3505,PHX,SJC,SJC,PHX,1635,1843,0208,2023,2218,0155,EMY,,,,,,,
Domestic,E175,E7W,3322,3323,MIA,IAH,IAH,MIA,1605,1810,0305,1850,2220,0230,EMY,,,,,,,
Domestic,E175,E7W,3386,3387,PHX,STS,STS,PHX,1640,1856,0216,2036,2239,0203,EMY,,,,,,,
Domestic,E175,E7W,3388,3389,MIA,SAT,SAT,MIA,1005,1236,0331,1934,2335,0301,EMY,,,,,,,
Domestic,E175,E7W,4422,4423,MIA,BNA,BNA,MIA,1720,1845,0225,2025,2342,0217,EMY,,,,,,,
Mexico,E175,E7W,3306,3307,MIA,MTY,MTY,MIA,1910,2037,0327,0730,1229,0259,EMY,,,,,,,
Mexico,E175,E7W,3352,3353,MIA,CZM,CZM,MIA,1015,1110,0155,1255,1550,0155,EMY,,,,,,,
Mexico,E175,E7W,3346,3347,MIA,MID,MID,MIA,1120,1135,0215,1220,1622,0202,EMY,,,,,,,
Mexico,E175,E7W,3332,3333,AUS,ZIH,ZIH,AUS,1130,1315,0245,1355,1734,0239,EMY,,0945,1417,1502,1805,0045,0045
Alaska,E175,E7W,2310,2311,ANC,FAI,FAI,ANC,1910,2034,0124,2124,2250,0126,SSX,,,,,,,
Mexico,E175,E7W,3456,3457,PHX,LTO,LTO,PHX,1225,1413,0148,1608,1757,0149,EMY,,,,,,,
Mexico,E175,E7W,3332,3333,AUS,ZIH,ZIH,AUS,1145,1330,0245,1430,1809,0239,EMY,,,,,,,
Mexico,E175,E7W,3364,3365,AUS,MID,MID,AUS,1340,1505,0225,1535,1913,0238,EMY,,,,,,,
Domestic,E175,E7W,2342,2343,PDX,GEG,GEG,PDX,1910,2037,0127,2122,2256,0134,SSX,,,,,,,
Mexico,E175,E7W,3364,3365,AUS,MID,MID,AUS,1340,1505,0225,1535,1913,0238,EMY,,,,,,,
Domestic,E175,E7W,5796,5797,DEN,EGE,EGE,DEN,1920,2036,0116,0700,0802,0102,SSX,,,,,,,
Domestic,E175,E7W,5712,5713,SFO,SUN,SUN,SFO,1945,2244,0159,0850,1001,0211,SSX,,,,,,,
Domestic,E175,E7W,5748,5749,SFO,EGE,EGE,SFO,1945,2312,0227,0535,0725,0250,SSX,,,,,,,
Domestic,E175,E7W,5718,5719,DEN,MRY,MRY,DEN,1945,2148,0303,2159,0126,0227,SSX,,,,,,,
Domestic,E175,E7W,6314,6315,LGA,OKC,OKC,LGA,2014,2255,0341,0505,0916,0311,SSX,,,,,,,
Canada,E175,E7W,2524,2525,PDX,YYC,YYC,PDX,2020,2315,0155,0715,0821,0206,SSX,,,,,,,
Domestic,E175,E7W,5762,5763,DEN,MSO,MSO,DEN,2020,2239,0219,0655,0851,0156,SSX,,,,,,,
Domestic,E175,E7W,5690,5691,SFO,BLI,BLI,SFO,2020,2245,0225,0830,1055,0225,SSX,,,,,,,
Alaska,E175,E7W,2312,2313,ANC,FAI,FAI,ANC,2050,2217,0127,2307,0036,0129,SSX,,,,,,,
Domestic,E175,E7W,2330,2331,PDX,BIL,BIL,PDX,2050,2358,0208,0730,0856,0226,SSX,,,,,,,
Domestic,E175,E7W,2362,2363,PDX,SMF,SMF,PDX,2100,2250,0150,0717,0908,0151,SSX,,,,,,,
Domestic,E145,E4X,6286,6287,LAX,TUS,TUS,LAX,1000,1138,0138,1218,1356,0138,SSX,,,,,,,
Domestic,E175,E7W,2334,2335,PDX,BOI,BOI,PDX,2123,2356,0133,0604,0646,0142,SSX,,,,,,,
Domestic,E175,E7W,5700,5701,SFO,SBA,SBA,SFO,2135,2302,0127,0535,0705,0130,SSX,,,,,,,
Domestic,E175,E7W,5792,5793,DEN,ABQ,ABQ,DEN,2140,2315,0135,0515,0638,0123,SSX,,,,,,,
Domestic,E175,E7W,5688,5689,SFO,MFR,MFR,SFO,2140,2315,0135,0605,0739,0134,SSX,,,,,,,
Domestic,E145,E4X,6292,6293,LAX,TUS,TUS,LAX,2221,2359,0138,0600,0738,0138,SSX,,,,,,,
Domestic,E175,E7W,5766,5767,DEN,ASE,ASE,DEN,2150,2306,0116,0612,0715,0103,SSX,,,,,,,
Domestic,E175,E7W,6228,6229,LAX,TUS,TUS,LAX,1132,1310,0138,1355,1533,0138,SSX,,,,,,,
Domestic,E175,E7W,5708,5709,DEN,RDM,RDM,DEN,2207,2359,0252,0515,0835,0220,SSX,,,,,,,
Alaska,E175,E7W,2308,2309,ANC,FAI,FAI,ANC,2220,2344,0124,0700,0826,0126,SSX,,,,,,,
Domestic,E175,E7W,2356,2357,PDX,SEA,SEA,PDX,2230,2347,0117,0635,0752,0117,SSX,,,,,,,
Domestic,E175,E7W,6258,6259,LAX,TUS,TUS,LAX,2140,2318,0138,0430,0608,0138,SSX,,,,,,,
Domestic,E175,E7W,6270,6271,LAX,XNA,XNA,LAX,1305,1818,0313,1903,2037,0334,SSX,,,,,,,
Alaska,E175,E7W,2314,2315,ANC,OME,OME,ANC,2325,0130,0205,0705,0857,0152,SSX,,,,,,,
Domestic,E190,E90,2502,2503,DEN,CLT,CLT,DEN,0650,1204,0314,1249,1424,0335,OLD,,,,,,,
Domestic,E190,E90,2312,2343,DEN,MSN,MSN,DEN,0925,1242,0217,1327,1454,0227,OLD,,,,,,,
Canada,E190,E90,276,277,DEN,YYZ,YYZ,DEN,1010,1522,0312,1612,1746,0334,OLD,,,,,,,
Domestic,E190,E90,2568,2569,DEN,CLT,CLT,DEN,1525,2039,0314,2124,2259,0335,OLD,,,,,,,
Domestic,E190,E90,1162,1173,AUS,MCI,MCI,AUS,1245,1447,0202,1532,1737,0205,NAC,,,,,,,
Domestic,E190,E90,2228,2257,BOS,ATL,ATL,BOS,1909,2150,0241,0505,0740,0235,NAC,,,,,,,
Domestic,E190,E90,1074,1083,BOS,ATL,ATL,BOS,0850,1131,0241,1216,1451,0235,NAC,,1030,1149,1234,1356,0045,0045
Domestic,E190,E90,806,837,BOS,BUF,BUF,BOS,1235,1420,0145,1505,1641,0136,NAC,,,,,,,
Domestic,E190,E90,1456,1499,BOS,BWI,BWI,BOS,1855,2036,0141,2121,2255,0134,NAC,,,,,,,
Domestic,E190,E90,524,529,BOS,CLE,CLE,BOS,1755,2001,0206,2046,2238,0152,NAC,,,,,,,
Domestic,E190,E90,1222,1223,BOS,DCA,DCA,BOS,0600,0744,0144,0815,0952,0137,NAC,,,,,,,
Domestic,E190,E90,2294,1870,BOS,DCA,DCA,BOS,0800,0944,0144,1030,1207,0137,NAC,,,,,,,
Domestic,E190,E90,2952,2953,BOS,DCA,DCA,BOS,1200,1344,0144,1430,1607,0137,NAC,,,,,,,
Domestic,E190,E90,3882,3883,BOS,DCA,DCA,BOS,1700,1842,0142,1915,2050,0135,NAC,,1145,1316,1406,1537,0050,0050
Domestic,E190,E90,1358,1377,BOS,DFW,DFW,BOS,0800,1108,0408,1153,1637,0344,NAC,,,,,,,
Domestic,E145,ERD,,,RDU,OWB,OWB,RDU,,,0152,,,0141,RVF,,,,,,,
Domestic,E190,E90,922,927,BOS,IAH,IAH,BOS,0750,1114,0424,1159,1648,0349,NAC,,,,,,,
Domestic,E190,E90,554,559,BOS,IAH,IAH,BOS,0825,1149,0424,1234,1723,0349,NAC,,,,,,,
Domestic,E190,E90,744,749,BOS,IAH,IAH,BOS,1430,1754,0424,1839,2328,0349,NAC,,,,,,,
Domestic,E190,E90,2328,2363,BOS,JAX,JAX,BOS,2155,0054,0259,0545,0829,0244,NAC,,,,,,,
Domestic,E190,E90,2178,2215,BOS,JFK,JFK,BOS,1500,1623,0123,1708,1827,0119,NAC,,,,,,,
Domestic,E190,E90,706,717,BOS,MCI,MCI,BOS,0610,0849,0339,0934,1342,0308,NAC,,,,,,,
Domestic,E190,E90,2404,2437,BOS,MSP,MSP,BOS,1340,1600,0320,1645,2037,0252,NAC,,,,,,,
Domestic,E190,E90,1150,1163,BOS,ORD,ORD,BOS,1125,1300,0235,1345,1715,0230,NAC,,,,,,,
Domestic,E190,E90,2286,2323,BOS,ORD,ORD,BOS,1620,1755,0235,1840,2210,0230,NAC,,,,,,,
Domestic,E190,E90,1212,1229,BOS,PHL,PHL,BOS,0625,0756,0131,0841,1006,0125,NAC,,0625,0756,0841,1006,0045,0045
Domestic,E190,E90,3096,3097,BOS,PHL,PHL,BOS,1550,1721,0131,1806,1931,0125,NAC,,1550,1721,1806,1931,0045,0045
Domestic,E190,E90,1578,1609,BOS,PIT,PIT,BOS,0655,0852,0157,0937,1122,0145,NAC,,,,,,,
Domestic,E190,E90,1656,1695,BOS,RDU,RDU,BOS,1530,1739,0209,1824,2023,0159,NAC,,,,,,,
Canada,E190,E90,1216,1249,BOS,YYZ,YYZ,BOS,0945,1136,0151,1226,1406,0140,NAC,,,,,,,
Domestic,E190,E90,1788,1779,DCA,ACK,ACK,DCA,1005,1140,0135,1215,1358,0143,NAC,,,,,,,
Domestic,E190,E90,1102,1109,DCA,DFW,DFW,DCA,2138,2355,0317,0515,0916,0301,NAC,,,,,,,
Domestic,E190,E90,1652,1653,DCA,DFW,DFW,DCA,0738,0955,0317,1029,1430,0301,NAC,,,,,,,
Domestic,E190,E90,1582,1583,DCA,FLL,FLL,DCA,1502,1740,0238,1814,2048,0234,NAC,,,,,,,
Domestic,E190,E90,1868,1869,DCA,IAH,IAH,DCA,2129,2359,0330,0555,0959,0304,NAC,,,,,,,
Domestic,E190,E90,528,523,DCA,IAH,IAH,DCA,1035,1305,0330,1345,1749,0304,NAC,,,,,,,
Domestic,E190,E90,1914,1915,DCA,MSP,MSP,DCA,2207,2359,0252,0545,0917,0232,NAC,,,,,,,
Domestic,E190,E90,1960,1965,DCA,MSP,MSP,DCA,1430,1622,0252,1659,2031,0232,NAC,,,,,,,
Domestic,E190,E90,1140,1155,DCA,MSY,MSY,DCA,1755,1900,0205,2045,2355,0210,NAC,,,,,,,
Caribbean,E190,E90,1976,1977,DCA,NAS,NAS,DCA,1320,1602,0242,1645,1927,0242,NAC,,,,,,,
Domestic,E190,E90,774,781,DCA,RSW,RSW,DCA,0955,1248,0253,1418,1728,0310,NAC,,,,,,,
Domestic,E190,E90,374,375,JFK,BOS,BOS,JFK,1705,1823,0118,1908,2029,0121,NAC,,,,,,,
